high_95,central,high_68,observed,low_95,low_68,mass
0.4725288152694702,0.546875,0.21580684185028076,0.46984809447532044,0.24993896484375,0.15230655670166016,700
0.2864323854446411,0.333984375,0.13179633021354675,0.24262501487117594,0.15264129638671875,0.09301578998565674,800
0.18357372283935547,0.2138671875,0.08269092440605164,0.12226955005037557,0.09857940673828125,0.06007182598114014,900
0.12952351570129395,0.14990234375,0.059154197573661804,0.08435170621865523,0.06909561157226562,0.042105138301849365,1000
0.09879803657531738,0.1123046875,0.044765129685401917,0.07930448164967975,0.05176544189453125,0.03154456615447998,1100
0.07343296706676483,0.083740234375,0.03304542601108551,0.0781008039301514,0.03859901428222656,0.02352127432823181,1200
0.0452483668923378,0.050537109375,0.02034575492143631,0.051395798212287507,0.023294448852539062,0.014195054769515991,1400
0.035438425838947296,0.040283203125,0.016057059168815613,0.03965320219448685,0.018568038940429688,0.01131489872932434,1400
0.020684774965047836,0.0234375,0.009435709565877914,0.016352798808785415,0.01080322265625,0.006583213806152344,1600
0.014099128544330597,0.0157470703125,0.006339618936181068,0.010824894662316488,0.007258415222167969,0.004479803144931793,1800
0.009801676496863365,0.01080322265625,0.004435396753251553,0.012750501773896628,0.005021810531616211,0.0030601657927036285,2000
0.007190711796283722,0.007739257812500001,0.0032082974910736077,0.015333600682417146,0.003627777099609376,0.002210676670074463,2200
0.005496295541524887,0.005786132812500001,0.0024678237736225125,0.010543469601407479,0.0027122497558593754,0.0016739666461944589,2400
0.004500064998865127,0.0046752929687500005,0.0019940435886383057,0.006257839728088643,0.0022098064422607427,0.001363864913582802,2600
0.0037096485495567324,0.003759765625,0.0016335379332304005,0.004998407268402385,0.0017917633056640627,0.0011058539152145387,2800
0.0031252559274435048,0.0030395507812500003,0.0013690829277038575,0.004424190979510583,0.001460409164428711,0.0009013462811708452,3000
0.0027644705772399913,0.0026953125000000002,0.001203286647796631,0.004154985496440705,0.0013055419921875,0.0008057641983032226,3200
0.0024647739529609683,0.0023242187500000003,0.0010746744275093078,0.003144520258392628,0.0011348724365234377,0.0007004290819168093,3400
0.0022409504652023318,0.0020605468750000003,0.0009609711170196532,0.002283785789479709,0.0010141754150390628,0.0006259363889694215,3600
0.002146730720996857,0.0019140625000000002,0.000923173725605011,0.0017847117547796342,0.0009495544433593751,0.0005934715270996093,3800
0.0024578985571861267,0.00216796875,0.001045635640621185,0.0018553322027624502,0.001083984375,0.0006774902343750001,4000
