mass,central,err
700,32.8,8.20E-01
800,17.06,3.28E-01
900,9.46,2.42E-01
1000,5.93,1.87E-01
1100,3.23,1.20E-01
1200,1.98,9.73E-02
1400,0.81,4.83E-02
1600,0.35,2.42E-02
1800,0.17,1.33E-02
2000,0.081,6.99E-03
2200,0.041,3.86E-03
2400,0.022,2.23E-03
2600,0.012,1.30E-03
2800,0.0067,7.71E-04
3000,0.0038,4.61E-04
3200,0.0019,3.48E-04
3400,0.0011,2.14E-04
3600,0.00062,1.27E-04
3800,0.00036,7.64E-05
4000,0.00022,4.76E-05
4200,0.00013,2.83E-05
